scenario,param,rte_dmap_p2p,rte_dmap_p2p,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_dmap_p2p,rre_dmap_p2p,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
loop,60%,2.51,2.51,+0.29,0.29,+11.6,False,0.123,0.123,+0.020,0.020,+16.3,False
slippage,60%,0.72,0.72,+0.13,0.13,+18.1,False,0.070,0.070,+0.017,0.017,+24.3,False
nav_a_diff,70%,1.23,1.23,-0.08,0.08,-6.5,False,0.106,0.106,-0.012,0.012,-11.3,False
nav_a_omni,70%,1.04,1.04,-0.07,0.07,-6.7,False,0.077,0.077,-0.014,0.014,-18.2,False
loop,70%,2.73,2.73,+0.28,0.28,+10.3,False,0.157,0.157,-0.002,0.002,-1.3,True
slippage,70%,0.89,0.89,-0.08,0.08,-9.0,False,0.115,0.115,-0.035,0.035,-30.4,False
nav_a_diff,80%,1.34,1.34,+0.03,0.03,+2.2,True,0.115,0.115,-0.003,0.003,-2.6,True
nav_a_omni,80%,1.24,1.24,-0.09,0.09,-7.3,False,0.073,0.073,+0.002,0.002,+2.7,True
loop,80%,3.09,3.09,+0.09,0.09,+2.9,False,0.168,0.168,-0.008,0.008,-4.8,False
slippage,80%,1.04,1.04,-0.15,0.15,-14.4,False,0.107,0.107,-0.024,0.024,-22.4,False
nav_a_diff,90%,1.96,1.96,-0.04,0.04,-2.0,True,0.132,0.132,-0.001,0.001,-0.8,True
nav_a_omni,90%,1.56,1.56,+0.05,0.05,+3.2,False,0.075,0.075,-0.008,0.008,-10.7,False
loop,90%,4.12,4.12,-0.13,0.13,-3.2,False,0.140,0.140,-0.007,0.007,-5.0,False
slippage,90%,2.17,2.17,-0.12,0.12,-5.5,False,0.160,0.160,-0.016,0.016,-10.0,False
