scenario,param,rte_dmap_p2p,rte_dmap_p2pl,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_dmap_p2p,rre_dmap_p2pl,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
nav_a_omni,2.50m,0.99,1.20,-0.21,0.21,-17.5,False,0.079,0.106,-0.027,0.027,-25.5,False
loop,2.50m,3.58,3.79,-0.21,0.21,-5.5,False,0.220,0.213,+0.007,0.007,+3.3,False
slippage,2.50m,0.83,0.81,+0.02,0.02,+2.5,True,0.088,0.065,+0.023,0.023,+35.4,False
nav_a_diff,3.00m,1.37,1.23,+0.14,0.14,+11.4,False,0.126,0.117,+0.009,0.009,+7.7,False
nav_a_omni,3.00m,1.33,1.46,-0.13,0.13,-8.9,False,0.124,0.118,+0.006,0.006,+5.1,False
loop,3.00m,4.04,2.71,+1.33,1.33,+49.1,False,0.220,0.187,+0.033,0.033,+17.6,False
slippage,3.00m,0.86,0.89,-0.03,0.03,-3.4,True,0.085,0.081,+0.004,0.004,+4.9,True
nav_a_diff,40%,1.09,1.21,-0.12,0.12,-9.9,False,0.101,0.121,-0.020,0.020,-16.5,False
nav_a_omni,40%,1.08,1.33,-0.25,0.25,-18.8,False,0.108,0.132,-0.024,0.024,-18.2,False
loop,40%,2.81,2.13,+0.68,0.68,+31.9,False,0.177,0.169,+0.008,0.008,+4.7,False
slippage,40%,0.66,1.34,-0.68,0.68,-50.7,False,0.065,0.131,-0.066,0.066,-50.4,False
nav_a_diff,50%,1.11,1.28,-0.17,0.17,-13.3,False,0.108,0.119,-0.011,0.011,-9.2,False
nav_a_omni,50%,0.88,1.33,-0.45,0.45,-33.8,False,0.086,0.122,-0.036,0.036,-29.5,False
loop,50%,3.19,2.60,+0.59,0.59,+22.7,False,0.183,0.143,+0.040,0.040,+28.0,False
slippage,50%,0.74,1.03,-0.29,0.29,-28.2,False,0.086,0.116,-0.030,0.030,-25.9,False
nav_a_diff,60%,1.12,1.31,-0.19,0.19,-14.5,False,0.112,0.121,-0.009,0.009,-7.4,False
nav_a_omni,60%,0.92,1.11,-0.19,0.19,-17.1,False,0.098,0.089,+0.009,0.009,+10.1,False
loop,60%,3.25,3.35,-0.10,0.10,-3.0,False,0.211,0.204,+0.007,0.007,+3.4,False
slippage,60%,0.63,1.27,-0.64,0.64,-50.4,False,0.084,0.132,-0.048,0.048,-36.4,False
nav_a_diff,70%,1.30,1.36,-0.06,0.06,-4.4,False,0.117,0.136,-0.019,0.019,-14.0,False
nav_a_omni,70%,1.01,1.15,-0.14,0.14,-12.2,False,0.084,0.105,-0.021,0.021,-20.0,False
loop,70%,3.35,4.19,-0.84,0.84,-20.0,False,0.207,0.234,-0.027,0.027,-11.5,False
slippage,70%,0.98,0.75,+0.23,0.23,+30.7,False,0.110,0.070,+0.040,0.040,+57.1,False
nav_a_diff,80%,1.43,1.36,+0.07,0.07,+5.1,False,0.117,0.153,-0.036,0.036,-23.5,False
nav_a_omni,80%,1.13,1.42,-0.29,0.29,-20.4,False,0.077,0.096,-0.019,0.019,-19.8,False
loop,80%,3.29,4.50,-1.21,1.21,-26.9,False,0.212,0.246,-0.034,0.034,-13.8,False
slippage,80%,1.10,5.52,-4.42,4.42,-80.1,False,0.137,0.133,+0.004,0.004,+3.0,True
nav_a_diff,90%,2.09,13.15,-11.06,11.06,-84.1,False,0.146,0.659,-0.513,0.513,-77.8,False
nav_a_omni,90%,1.77,12.81,-11.04,11.04,-86.2,False,0.093,0.445,-0.352,0.352,-79.1,False
loop,90%,4.42,9.10,-4.68,4.68,-51.4,False,0.187,0.292,-0.105,0.105,-36.0,False
slippage,90%,2.40,16.29,-13.89,13.89,-85.3,False,0.182,0.504,-0.322,0.322,-63.9,False
