scenario,param,rte_dmap_p2pl,rte_dmap_p2p,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_dmap_p2pl,rre_dmap_p2p,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
loop,2.00m,2.75,3.20,-0.45,0.45,-14.1,False,0.165,0.199,-0.034,0.034,-17.1,False
slippage,2.00m,0.69,0.52,+0.17,0.17,+32.7,False,0.095,0.038,+0.057,0.057,+150.0,False
nav_a_diff,2.50m,1.05,1.30,-0.25,0.25,-19.2,False,0.091,0.111,-0.020,0.020,-18.0,False
nav_a_omni,2.50m,1.06,1.28,-0.22,0.22,-17.2,False,0.089,0.093,-0.004,0.004,-4.3,True
loop,2.50m,2.92,3.60,-0.68,0.68,-18.9,False,0.184,0.197,-0.013,0.013,-6.6,False
slippage,2.50m,0.76,0.53,+0.23,0.23,+43.4,False,0.099,0.036,+0.063,0.063,+175.0,False
nav_a_diff,3.00m,1.53,1.55,-0.02,0.02,-1.3,True,0.109,0.126,-0.017,0.017,-13.5,False
nav_a_omni,3.00m,1.30,1.41,-0.11,0.11,-7.8,False,0.113,0.119,-0.006,0.006,-5.0,False
loop,3.00m,3.29,4.60,-1.31,1.31,-28.5,False,0.149,0.226,-0.077,0.077,-34.1,False
slippage,3.00m,0.71,0.54,+0.17,0.17,+31.5,False,0.075,0.057,+0.018,0.018,+31.6,False
nav_a_diff,40%,1.06,1.17,-0.11,0.11,-9.4,False,0.090,0.114,-0.024,0.024,-21.1,False
nav_a_omni,40%,0.97,1.16,-0.19,0.19,-16.4,False,0.087,0.088,-0.001,0.001,-1.1,True
loop,40%,1.75,2.58,-0.83,0.83,-32.2,False,0.121,0.154,-0.033,0.033,-21.4,False
slippage,40%,0.79,0.54,+0.25,0.25,+46.3,False,0.078,0.053,+0.025,0.025,+47.2,False
nav_a_diff,50%,1.15,1.38,-0.23,0.23,-16.7,False,0.100,0.110,-0.010,0.010,-9.1,False
nav_a_omni,50%,0.94,1.34,-0.40,0.40,-29.9,False,0.089,0.092,-0.003,0.003,-3.3,True
loop,50%,2.27,2.99,-0.72,0.72,-24.1,False,0.146,0.141,+0.005,0.005,+3.5,False
slippage,50%,0.65,0.57,+0.08,0.08,+14.0,False,0.083,0.051,+0.032,0.032,+62.7,False
nav_a_diff,60%,1.10,1.60,-0.50,0.50,-31.2,False,0.104,0.127,-0.023,0.023,-18.1,False
nav_a_omni,60%,0.84,1.51,-0.67,0.67,-44.4,False,0.079,0.093,-0.014,0.014,-15.1,False
loop,60%,2.68,3.19,-0.51,0.51,-16.0,False,0.150,0.170,-0.020,0.020,-11.8,False
slippage,60%,0.76,0.58,+0.18,0.18,+31.0,False,0.118,0.039,+0.079,0.079,+202.6,False
nav_a_diff,70%,1.23,1.86,-0.63,0.63,-33.9,False,0.117,0.141,-0.024,0.024,-17.0,False
nav_a_omni,70%,0.84,1.65,-0.81,0.81,-49.1,False,0.079,0.091,-0.012,0.012,-13.2,False
loop,70%,3.66,4.43,-0.77,0.77,-17.4,False,0.216,0.217,-0.001,0.001,-0.5,True
slippage,70%,0.67,0.60,+0.07,0.07,+11.7,False,0.076,0.052,+0.024,0.024,+46.2,False
nav_a_diff,80%,3.04,2.45,+0.59,0.59,+24.1,False,0.158,0.163,-0.005,0.005,-3.1,False
nav_a_omni,80%,5.02,2.19,+2.83,2.83,+129.2,False,0.214,0.117,+0.097,0.097,+82.9,False
loop,80%,6.84,5.46,+1.38,1.38,+25.3,False,0.255,0.266,-0.011,0.011,-4.1,False
slippage,80%,5.08,0.93,+4.15,4.15,+446.2,False,0.079,0.076,+0.003,0.003,+3.9,True
nav_a_diff,90%,7.97,5.38,+2.59,2.59,+48.1,False,0.215,0.311,-0.096,0.096,-30.9,False
nav_a_omni,90%,9.50,4.02,+5.48,5.48,+136.3,False,0.211,0.186,+0.025,0.025,+13.4,False
loop,90%,8.29,9.76,-1.47,1.47,-15.1,False,0.137,0.410,-0.273,0.273,-66.6,False
slippage,90%,6.99,2.47,+4.52,4.52,+183.0,False,0.242,0.070,+0.172,0.172,+245.7,False
