scenario,param,rte_dmap_p2p,rte_icp_p2pl,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_dmap_p2p,rre_icp_p2pl,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
nav_a_omni,50%,0.81,0.83,-0.02,0.02,-2.4,True,0.065,0.093,-0.028,0.028,-30.1,False
loop,50%,2.33,2.07,+0.26,0.26,+12.6,False,0.123,0.140,-0.017,0.017,-12.1,False
slippage,50%,0.64,0.72,-0.08,0.08,-11.1,False,0.070,0.084,-0.014,0.014,-16.7,False
nav_a_diff,60%,1.10,1.08,+0.02,0.02,+1.9,True,0.089,0.109,-0.020,0.020,-18.3,False
nav_a_omni,60%,0.89,0.82,+0.07,0.07,+8.5,False,0.080,0.075,+0.005,0.005,+6.7,False
loop,60%,2.80,2.71,+0.09,0.09,+3.3,False,0.143,0.154,-0.011,0.011,-7.1,False
slippage,60%,0.85,0.82,+0.03,0.03,+3.7,True,0.087,0.070,+0.017,0.017,+24.3,False
nav_a_diff,70%,1.15,1.24,-0.09,0.09,-7.3,False,0.094,0.123,-0.029,0.029,-23.6,False
nav_a_omni,70%,0.97,0.93,+0.04,0.04,+4.3,True,0.063,0.090,-0.027,0.027,-30.0,False
loop,70%,3.01,3.91,-0.90,0.90,-23.0,False,0.155,0.207,-0.052,0.052,-25.1,False
slippage,70%,0.81,0.69,+0.12,0.12,+17.4,False,0.080,0.056,+0.024,0.024,+42.9,False
nav_a_diff,80%,1.37,3.34,-1.97,1.97,-59.0,False,0.112,0.155,-0.043,0.043,-27.7,False
nav_a_omni,80%,1.15,5.39,-4.24,4.24,-78.7,False,0.075,0.231,-0.156,0.156,-67.5,False
loop,80%,3.18,7.32,-4.14,4.14,-56.6,False,0.160,0.257,-0.097,0.097,-37.7,False
slippage,80%,0.89,4.92,-4.03,4.03,-81.9,False,0.083,0.081,+0.002,0.002,+2.5,True
nav_a_diff,90%,1.92,7.98,-6.06,6.06,-75.9,False,0.131,0.214,-0.083,0.083,-38.8,False
nav_a_omni,90%,1.61,9.45,-7.84,7.84,-83.0,False,0.067,0.217,-0.150,0.150,-69.1,False
loop,90%,3.99,8.26,-4.27,4.27,-51.7,False,0.133,0.136,-0.003,0.003,-2.2,True
slippage,90%,2.05,6.97,-4.92,4.92,-70.6,False,0.144,0.251,-0.107,0.107,-42.6,False
