scenario,param,rte_dmap_p2pl,rte_dmap_p2p,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_dmap_p2pl,rre_dmap_p2p,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
loop,40%,1.91,2.29,-0.38,0.38,-16.6,False,0.121,0.135,-0.014,0.014,-10.4,False
slippage,40%,0.67,0.76,-0.09,0.09,-11.8,False,0.065,0.073,-0.008,0.008,-11.0,False
nav_a_diff,50%,1.17,0.98,+0.19,0.19,+19.4,False,0.111,0.085,+0.026,0.026,+30.6,False
nav_a_omni,50%,0.94,0.84,+0.10,0.10,+11.9,False,0.085,0.067,+0.018,0.018,+26.9,False
loop,50%,2.90,2.57,+0.33,0.33,+12.8,False,0.140,0.136,+0.004,0.004,+2.9,True
slippage,50%,0.83,0.71,+0.12,0.12,+16.9,False,0.059,0.091,-0.032,0.032,-35.2,False
nav_a_diff,60%,1.26,1.16,+0.10,0.10,+8.6,False,0.118,0.103,+0.015,0.015,+14.6,False
nav_a_omni,60%,1.10,0.87,+0.23,0.23,+26.4,False,0.096,0.086,+0.010,0.010,+11.6,False
loop,60%,3.10,2.51,+0.59,0.59,+23.5,False,0.152,0.123,+0.029,0.029,+23.6,False
slippage,60%,0.89,0.72,+0.17,0.17,+23.6,False,0.068,0.070,-0.002,0.002,-2.9,True
nav_a_diff,70%,1.36,1.23,+0.13,0.13,+10.6,False,0.125,0.106,+0.019,0.019,+17.9,False
nav_a_omni,70%,1.07,1.04,+0.03,0.03,+2.9,True,0.095,0.077,+0.018,0.018,+23.4,False
loop,70%,3.86,2.73,+1.13,1.13,+41.4,False,0.223,0.157,+0.066,0.066,+42.0,False
slippage,70%,1.19,0.89,+0.30,0.30,+33.7,False,0.072,0.115,-0.043,0.043,-37.4,False
nav_a_diff,80%,2.09,1.34,+0.75,0.75,+56.0,False,0.155,0.115,+0.040,0.040,+34.8,False
nav_a_omni,80%,2.54,1.24,+1.30,1.30,+104.8,False,0.209,0.073,+0.136,0.136,+186.3,False
loop,80%,7.03,3.09,+3.94,3.94,+127.5,False,0.237,0.168,+0.069,0.069,+41.1,False
slippage,80%,7.73,1.04,+6.69,6.69,+643.3,False,0.252,0.107,+0.145,0.145,+135.5,False
nav_a_diff,90%,14.08,1.96,+12.12,12.12,+618.4,False,0.628,0.132,+0.496,0.496,+375.8,False
nav_a_omni,90%,12.10,1.56,+10.54,10.54,+675.6,False,0.578,0.075,+0.503,0.503,+670.7,False
loop,90%,11.22,4.12,+7.10,7.10,+172.3,False,0.622,0.140,+0.482,0.482,+344.3,False
slippage,90%,16.12,2.17,+13.95,13.95,+642.9,False,0.461,0.160,+0.301,0.301,+188.1,False
