scenario,param,rte_icp_p2pl,rte_icp_p2p,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_icp_p2pl,rre_icp_p2p,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
loop,50%,2.41,3.33,-0.92,0.92,-27.6,False,0.144,0.197,-0.053,0.053,-26.9,False
slippage,50%,1.01,0.64,+0.37,0.37,+57.8,False,0.107,0.051,+0.056,0.056,+109.8,False
nav_a_diff,60%,1.02,1.56,-0.54,0.54,-34.6,False,0.105,0.136,-0.031,0.031,-22.8,False
nav_a_omni,60%,0.92,1.41,-0.49,0.49,-34.8,False,0.090,0.112,-0.022,0.022,-19.6,False
loop,60%,3.12,3.56,-0.44,0.44,-12.4,False,0.190,0.213,-0.023,0.023,-10.8,False
slippage,60%,0.88,0.56,+0.32,0.32,+57.1,False,0.108,0.053,+0.055,0.055,+103.8,False
nav_a_diff,70%,1.19,1.85,-0.66,0.66,-35.7,False,0.115,0.129,-0.014,0.014,-10.9,False
nav_a_omni,70%,0.95,1.66,-0.71,0.71,-42.8,False,0.087,0.108,-0.021,0.021,-19.4,False
loop,70%,3.30,4.80,-1.50,1.50,-31.2,False,0.209,0.239,-0.030,0.030,-12.6,False
slippage,70%,0.73,0.75,-0.02,0.02,-2.7,True,0.080,0.079,+0.001,0.001,+1.3,True
nav_a_diff,80%,1.88,2.45,-0.57,0.57,-23.3,False,0.151,0.130,+0.021,0.021,+16.2,False
nav_a_omni,80%,2.33,2.13,+0.20,0.20,+9.4,False,0.126,0.079,+0.047,0.047,+59.5,False
loop,80%,5.04,6.02,-0.98,0.98,-16.3,False,0.230,0.303,-0.073,0.073,-24.1,False
slippage,80%,4.08,1.06,+3.02,3.02,+284.9,False,0.074,0.097,-0.023,0.023,-23.7,False
nav_a_diff,90%,8.44,5.00,+3.44,3.44,+68.8,False,0.231,0.216,+0.015,0.015,+6.9,False
nav_a_omni,90%,9.18,4.07,+5.11,5.11,+125.6,False,0.237,0.163,+0.074,0.074,+45.4,False
loop,90%,8.28,10.93,-2.65,2.65,-24.2,False,0.139,0.407,-0.268,0.268,-65.8,False
slippage,90%,7.10,2.61,+4.49,4.49,+172.0,False,0.168,0.093,+0.075,0.075,+80.6,False
