scenario,param,rte_dmap_p2pl,rte_dmap_p2pl,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_dmap_p2pl,rre_dmap_p2pl,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
nav_a_omni,60%,1.11,1.11,-0.01,0.01,-0.9,True,0.089,0.089,+0.007,0.007,+7.9,False
loop,60%,3.35,3.35,-0.25,0.25,-7.5,False,0.204,0.204,-0.052,0.052,-25.5,False
slippage,60%,1.27,1.27,-0.38,0.38,-29.9,False,0.132,0.132,-0.064,0.064,-48.5,False
nav_a_diff,70%,1.36,1.36,+0.00,0.00,+0.0,True,0.136,0.136,-0.011,0.011,-8.1,False
nav_a_omni,70%,1.15,1.15,-0.08,0.08,-7.0,False,0.105,0.105,-0.010,0.010,-9.5,False
loop,70%,4.19,4.19,-0.33,0.33,-7.9,False,0.234,0.234,-0.011,0.011,-4.7,False
slippage,70%,0.75,0.75,+0.44,0.44,+58.7,False,0.070,0.070,+0.002,0.002,+2.9,True
nav_a_diff,80%,1.36,1.36,+0.73,0.73,+53.7,False,0.153,0.153,+0.002,0.002,+1.3,True
nav_a_omni,80%,1.42,1.42,+1.12,1.12,+78.9,False,0.096,0.096,+0.113,0.113,+117.7,False
loop,80%,4.50,4.50,+2.53,2.53,+56.2,False,0.246,0.246,-0.009,0.009,-3.7,False
slippage,80%,5.52,5.52,+2.21,2.21,+40.0,False,0.133,0.133,+0.119,0.119,+89.5,False
nav_a_diff,90%,13.15,13.15,+0.93,0.93,+7.1,False,0.659,0.659,-0.031,0.031,-4.7,False
nav_a_omni,90%,12.81,12.81,-0.71,0.71,-5.5,False,0.445,0.445,+0.133,0.133,+29.9,False
loop,90%,9.10,9.10,+2.12,2.12,+23.3,False,0.292,0.292,+0.330,0.330,+113.0,False
slippage,90%,16.29,16.29,-0.17,0.17,-1.0,False,0.504,0.504,-0.043,0.043,-8.5,False
