scenario,param,rte_dmap_p2p,rte_dmap_p2p,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_dmap_p2p,rre_dmap_p2p,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
slippage,40%,0.71,0.71,-0.05,0.05,-7.0,True,0.034,0.034,+0.042,0.042,+123.5,False
nav_a_diff,50%,1.35,1.35,-0.40,0.40,-29.6,False,0.122,0.122,-0.044,0.044,-36.1,False
nav_a_omni,50%,1.31,1.31,-0.50,0.50,-38.2,False,0.089,0.089,-0.024,0.024,-27.0,False
loop,50%,3.00,3.00,-0.67,0.67,-22.3,False,0.144,0.144,-0.021,0.021,-14.6,False
slippage,50%,0.64,0.64,+0.00,0.00,+0.0,True,0.052,0.052,+0.018,0.018,+34.6,False
nav_a_diff,60%,1.58,1.58,-0.48,0.48,-30.4,False,0.129,0.129,-0.040,0.040,-31.0,False
nav_a_omni,60%,1.39,1.39,-0.50,0.50,-36.0,False,0.090,0.090,-0.010,0.010,-11.1,False
loop,60%,3.12,3.12,-0.32,0.32,-10.3,False,0.175,0.175,-0.032,0.032,-18.3,False
slippage,60%,0.63,0.63,+0.22,0.22,+34.9,False,0.052,0.052,+0.035,0.035,+67.3,False
nav_a_diff,70%,1.83,1.83,-0.68,0.68,-37.2,False,0.141,0.141,-0.047,0.047,-33.3,False
nav_a_omni,70%,1.66,1.66,-0.69,0.69,-41.6,False,0.098,0.098,-0.035,0.035,-35.7,False
loop,70%,4.37,4.37,-1.36,1.36,-31.1,False,0.217,0.217,-0.062,0.062,-28.6,False
slippage,70%,0.95,0.95,-0.14,0.14,-14.7,False,0.082,0.082,-0.002,0.002,-2.4,True
nav_a_diff,80%,2.53,2.53,-1.16,1.16,-45.8,False,0.174,0.174,-0.062,0.062,-35.6,False
nav_a_omni,80%,2.17,2.17,-1.02,1.02,-47.0,False,0.127,0.127,-0.052,0.052,-40.9,False
loop,80%,5.34,5.34,-2.16,2.16,-40.4,False,0.256,0.256,-0.096,0.096,-37.5,False
slippage,80%,1.24,1.24,-0.35,0.35,-28.2,False,0.064,0.064,+0.019,0.019,+29.7,False
nav_a_diff,90%,5.34,5.34,-3.42,3.42,-64.0,False,0.292,0.292,-0.161,0.161,-55.1,False
nav_a_omni,90%,3.98,3.98,-2.37,2.37,-59.5,False,0.187,0.187,-0.120,0.120,-64.2,False
loop,90%,9.65,9.65,-5.66,5.66,-58.7,False,0.399,0.399,-0.266,0.266,-66.7,False
slippage,90%,2.80,2.80,-0.75,0.75,-26.8,False,0.093,0.093,+0.051,0.051,+54.8,False
